Date,Open,High,Low,Close,Volume
DATE,REAL,REAL,REAL,REAL,REAL
2/29/2008,13735.44,13738.56,13533.25,13603.02,126600
3/3/2008,13412.87,13413.63,12992.18,12992.18,142400
3/4/2008,13080.29,13110.39,12883.07,12992.28,138600
3/5/2008,12973.03,13044.01,12919.81,12972.06,128800
3/6/2008,13068.89,13365.22,13050.55,13215.42,134200
3/7/2008,13024.61,13024.61,12744.52,12782.8,144200
3/10/2008,12716.84,12777.07,12527.07,12532.13,151200
3/11/2008,12392.31,12674.89,12352.79,12658.28,162200
3/12/2008,12841.88,13071.22,12799.42,12861.13,141000
3/13/2008,12741.26,12772.37,12351.72,12433.44,143400
3/14/2008,12509.81,12582.57,12167.09,12241.6,232000
3/17/2008,12089.03,12132.69,11691,11787.51,172600
3/18/2008,11828.99,11995.06,11793.6,11964.16,157800
3/21/2008,12331.64,12496.41,12308.03,12482.57,122000
3/24/2008,12473.06,12582.46,12438.2,12480.09,108400
3/25/2008,12639.74,12791.24,12572.77,12745.22,130200
3/26/2008,12648.97,12711.78,12591.01,12706.63,107400
3/27/2008,12618.42,12621.56,12475.88,12604.58,114200
3/28/2008,12594.34,12874.45,12507.68,12820.47,122600
3/31/2008,12709.28,12709.28,12430.63,12525.54,124000
4/1/2008,12539.8,12779.14,12521.84,12656.42,114600
4/2/2008,12836.41,13189.36,12836.41,13189.36,145000
4/3/2008,13190.16,13389.9,13137.1,13389.9,142600
4/4/2008,13286.35,13360.81,13220,13293.22,122000
4/7/2008,13240.56,13485.9,13228.86,13450.23,125200
4/8/2008,13373.96,13402.91,13225.76,13250.43,110600
4/9/2008,13295.16,13348.38,12998.54,13111.89,117200
4/10/2008,13029.81,13062.46,12898.49,12945.3,128000
4/11/2008,13061.77,13329.4,13040.35,13323.73,147600
4/14/2008,13132.67,13132.67,12858.63,12917.51,101000
4/15/2008,12952.65,13052.82,12875.92,12990.58,112400
4/16/2008,13130.66,13222.43,13112.07,13146.13,121200
4/17/2008,13315.83,13495.94,13313.06,13398.3,127200
4/18/2008,13426.26,13485.04,13323.74,13476.45,102400
4/21/2008,13639.85,13739.44,13639.77,13696.55,124600
4/22/2008,13587.51,13608.17,13519.12,13547.82,100800
4/23/2008,13455.56,13717.05,13449.04,13579.16,112200
4/24/2008,13613.83,13654.78,13497.16,13540.87,108800
4/25/2008,13614.53,13886.37,13614.53,13863.47,127200
4/28/2008,13907.97,14003.28,13745.61,13894.37,139400
4/30/2008,13802.94,13976.1,13766.24,13849.99,143200
5/1/2008,13802.59,13884.63,13727.07,13766.86,110800
5/2/2008,13944.26,14072.92,13944.26,14049.26,114000
5/7/2008,14147.57,14208.67,14022.79,14102.48,139800
